Timeline,"""ANALYTIC abstract from facility WITH CoC accreditation","""ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95","""ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.9911168093777198,0.9897814424675668,0.9922783510487745
2,0.982609980853211,0.9807699847628433,0.9842753337974729
3,0.9753900331880789,0.9732048290554559,0.9773991048135295
4,0.9687121607236657,0.9662401862525188,0.9710058580120008
5,0.9634005107676762,0.9607143812492828,0.9659062525721972
6,0.9582470705544631,0.9553590643771621,0.9609520794590012
7,0.9528504175807297,0.949755368481985,0.9557592820087811
8,0.9467208548197835,0.9433948684677723,0.9498566460353423
9,0.9409686978773392,0.9374286902839021,0.9443144253486868
10,0.9360768346955401,0.9323530767763968,0.9396023104861809
11,0.9322844365203242,0.9284148271422952,0.9359521549336237
12,0.9274197394978559,0.9233575240872739,0.9312747447304015
13,0.9227253694862251,0.9184718819619742,0.9267658895245419
14,0.918163945601036,0.9137189014270617,0.9223898299578214
15,0.9152398566023073,0.9106627997537183,0.919592894700562
16,0.9107552186769393,0.9059613640998101,0.9153162643747507
17,0.9070186450704543,0.9020319250760505,0.9117641167033811
18,0.9033842498027504,0.8981902573879681,0.908326975267767
19,0.8990557966194261,0.8935911978690195,0.9042550181961021
20,0.8969248276774515,0.891307196928002,0.9022682765705623
21,0.8933165094051863,0.8873942778754962,0.8989452852455021
22,0.8916480063991997,0.8855478208139651,0.89744218198254
23,0.8894387695151581,0.8830338600342682,0.8955140362293302
24,0.8894387695151581,0.8830338600342682,0.8955140362293302
