Timeline,"""ANALYTIC abstract from facility WITH CoC accreditation","""ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95","""ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95"
0,1.0,1.0,1.0
1,0.8143759873617699,0.7918444291116814,0.8347284431247015
2,0.7207600295063479,0.6949078940338934,0.7448385762941191
3,0.665049109351268,0.6377853089337748,0.6907819136158816
4,0.6314332390698516,0.6034631318775208,0.6580199205670344
5,0.6094952262320772,0.5810893596121989,0.6366128127505353
6,0.5883391935860048,0.5595092819491698,0.6159710353549144
7,0.5681614956110334,0.5389252942805508,0.5962856106248039
8,0.548959218423384,0.5193203562812896,0.5775677942460555
9,0.538242010254598,0.5083671600277925,0.5671323774509499
10,0.528014133575176,0.4978785757623098,0.5572075829504753
11,0.5196550707745139,0.4892631146622543,0.5491378896094469
12,0.512188762286374,0.48153639849339225,0.541960607630889
13,0.49561307418649136,0.4642770315875289,0.5261307619637879
14,0.48506811516124654,0.45328511639006813,0.5160755132502168
15,0.4680149392376092,0.4354629511514577,0.49986564579402576
16,0.4594275091598548,0.4264081399003473,0.49178371091942297
17,0.44529127810878244,0.4114184097157707,0.4785681029772655
18,0.4346891048204783,0.4000793203435647,0.4687572712885503
19,0.42856672306244314,0.39342852247706067,0.46319513757129377
20,0.42856672306244314,0.39342852247706067,0.46319513757129377
21,0.41963824966530894,0.38312705077919207,0.4556763770887289
22,0.4085951378320115,0.36998861559092794,0.4467814813676248
23,0.3945056503205631,0.35262867999305636,0.4360557021846696
24,0.3945056503205631,0.35262867999305636,0.4360557021846696
