Timeline,ANALYTIC abstract from facility WITH CoC accreditation,ANALYTIC abstract from facility WITH CoC accreditation_lower_0.95,ANALYTIC abstract from facility WITH CoC accreditation_upper_0.95
0,1.0,1.0,1.0
1,1.0,1.0,1.0
2,0.9973474801061007,0.9813211948748104,0.9996259305504838
3,0.9917600992651707,0.9746623530825742,0.9973360352794425
4,0.9917600992651707,0.9746623530825742,0.9973360352794425
5,0.9887178903717191,0.9701813363015873,0.9957563913934369
6,0.9822131674087471,0.9607320414806765,0.9919919472990882
7,0.9787546703404063,0.9558041744412834,0.9898500667199482
8,0.9638686677496772,0.9353952344310152,0.9799266877025221
9,0.9560955333323404,0.9252231968549846,0.9743971095188361
10,0.9477453540019269,0.914347415250358,0.9683445977411538
11,0.9432958452976921,0.9085522690933469,0.9650912739279713
12,0.9290034840053029,0.8900840765268064,0.9544921704274254
13,0.9237843633086437,0.8833293700107427,0.9506014674788205
14,0.9183181836440953,0.8762556561062114,0.9465165544691376
15,0.9183181836440953,0.8762556561062114,0.9465165544691376
16,0.9183181836440953,0.8762556561062114,0.9465165544691376
17,0.9183181836440953,0.8762556561062114,0.9465165544691376
18,0.9094882011090561,0.8628403566604849,0.940811293452573
19,0.9094882011090561,0.8628403566604849,0.940811293452573
20,0.8973616917609362,0.8428331423496499,0.933708687841648
21,0.8973616917609362,0.8428331423496499,0.933708687841648
22,0.8973616917609362,0.8428331423496499,0.933708687841648
23,0.8973616917609362,0.8428331423496499,0.933708687841648
